order_month,delivered_late,late_rate_pct
2016-09,1.0,100.0
2016-10,0.011320754716981131,1.13
2016-12,0.0,0.0
2017-01,0.030666666666666665,3.07
2017-02,0.03206291591046582,3.21
2017-03,0.05577376276512176,5.58
2017-04,0.07859313938341293,7.86
2017-05,0.03609701071630006,3.61
2017-06,0.03859649122807018,3.86
2017-07,0.034349173553719005,3.43
2017-08,0.03315048891008824,3.32
2017-09,0.052048192771084335,5.2
2017-10,0.05292541313086199,5.29
2017-11,0.14309233090958978,14.31
2017-12,0.08380192272809722,8.38
2018-01,0.06563870420144292,6.56
2018-02,0.15987795575896263,15.99
2018-03,0.21362273311437954,21.36
2018-04,0.05310385407472786,5.31
2018-05,0.08238257519632539,8.24
2018-06,0.013608788325955074,1.36
2018-07,0.044812469556746226,4.48
2018-08,0.10392064241851677,10.39
